Fecha;Total Dosis 1;Total Dosis 2;Total Dosis 3;Total Dosis 4;1era Dosis Sinovac;2da Dosis Sinovac;3era Dosis Sinovac;4ta Dosis Sinovac;1era Dosis Pfizer;2da Dosis Pfizer;3era Dosis Pfizer;4ta Dosis Pfizer;1era Dosis Astrazeneca;2da Dosis Astrazeneca;3era Dosis Astrazeneca;4ta Dosis Astrazeneca;Montevideo Dosis 1;Montevideo Dosis 2;Montevideo Dosis 3;Montevideo Dosis 4;Artigas Dosis 1;Artigas Dosis 2;Artigas Dosis 3;Artigas Dosis 4;Canelones Dosis 1;Canelones Dosis 2;Canelones Dosis 3;Canelones Dosis 4;Cerro Largo Dosis 1;Cerro Largo Dosis 2;Cerro Largo Dosis 3;Cerro Largo Dosis 4;Colonia Dosis 1;Colonia Dosis 2;Colonia Dosis 3;Colonia Dosis 4;Durazno Dosis 1;Durazno Dosis 2;Durazno Dosis 3;Durazno Dosis 4;Flores Dosis 1;Flores Dosis 2;Flores Dosis 3;Flores Dosis 4;Florida Dosis 1;Florida Dosis 2;Florida Dosis 3;Florida Dosis 4;Lavalleja Dosis 1;Lavalleja Dosis 2;Lavalleja Dosis 3;Lavalleja Dosis 4;Maldonado Dosis 1;Maldonado Dosis 2;Maldonado Dosis 3;Maldonado Dosis 4;Paysandú Dosis 1;Paysandú Dosis 2;Paysandú Dosis 3;Paysandú Dosis 4;Río Negro Dosis 1;Río Negro Dosis 2;Río Negro Dosis 3;Río Negro Dosis 4;Rivera Dosis 1;Rivera Dosis 2;Rivera Dosis 3;Rivera Dosis 4;Rocha Dosis 1;Rocha Dosis 2;Rocha Dosis 3;Rocha Dosis 4;Salto Dosis 1;Salto Dosis 2;Salto Dosis 3;Salto Dosis 4;San José Dosis 1;San José Dosis 2;San José Dosis 3;San José Dosis 4;Soriano Dosis 1;Soriano Dosis 2;Soriano Dosis 3;Soriano Dosis 4;Tacuarembó Dosis 1;Tacuarembó Dosis 2;Tacuarembó Dosis 3;Tacuarembó Dosis 4;Treinta y Tres Dosis 1;Treinta y Tres Dosis 2;Treinta y Tres Dosis 3;Treinta y Tres Dosis 4;Departamento Sin Datos;5 a 11 Dosis 1;5 a 11 Dosis 2;5 a 11 Dosis 3;5 a 11 Dosis 4;12 a 14 Dosis 1;12 a 14 Dosis 2;12 a 14 Dosis 3;12 a 14 Dosis 4;15 a 19 Dosis 1;15 a 19 Dosis 2;15 a 19 Dosis 3;15 a 19 Dosis 4;20 a 24 Dosis 1;20 a 24 Dosis 2;20 a 24 Dosis 3;20 a 24 Dosis 4;25 a 34 Dosis 1;25 a 34 Dosis 2;25 a 34 Dosis 3;25 a 34 Dosis 4;35 a 44 Dosis 1;35 a 44 Dosis 2;35 a 44 Dosis 3;35 a 44 Dosis 4;45 a 54 Dosis 1;45 a 54 Dosis 2;45 a 54 Dosis 3;45 a 54 Dosis 4;55 a 64 Dosis 1;55 a 64 Dosis 2;55 a 64 Dosis 3;55 a 64 Dosis 4;65 a 74 Dosis 1;65 a 74 Dosis 2;65 a 74 Dosis 3;65 a 74 Dosis 4;+ 75 Dosis 1;+ 75 Dosis 2;+ 75 Dosis 3;+ 75 Dosis 4;Rango Sin Datos;Total Dosis 5 o más;5ta Dosis o más Pfizer;Montevideo Dosis 5 o más;Artigas Dosis 5 o más;Canelones Dosis 5 o más;Cerro Largo Dosis 5 o más;Colonia Dosis 5 o más;Durazno Dosis 5 o más;Flores Dosis 5 o más;Florida Dosis 5 o más;Lavalleja Dosis 5 o más;Maldonado Dosis 5 o más;Paysandú Dosis 5 o más;Río Negro Dosis 5 o más;Rivera Dosis 5 o más;Rocha Dosis 5 o más;Salto Dosis 5 o más;San José Dosis 5 o más;Soriano Dosis 5 o más;Tacuarembó Dosis 5 o más;Treinta y Tres Dosis 5 o más;5 a 11 Dosis 5 o más;12 a 14 Dosis 5 o más;15 a 19 Dosis 5 o más;20 a 24 Dosis 5 o más;25 a 34 Dosis 5 o más;35 a 44 Dosis 5 o más;45 a 54 Dosis 5 o más;55 a 64 Dosis 5 o más;65 a 74 Dosis 5 o más;+ 75 Dosis 5 o más
2/11/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1/11/2023;2;0;0;4;0;0;0;0;2;0;0;4;0;0;0;0;1;0;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;15;15;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;5;5
30/10/2023;1;0;1;5;0;0;0;0;1;0;1;5;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;11;11;7;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;2
29/10/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/10/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/10/2023;6;5;11;20;0;0;0;0;6;5;11;20;0;0;0;0;5;3;6;14;0;0;0;0;1;1;1;2;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;1;2;3;1;0;0;0;3;0;1;1;6;0;0;0;2;0;0;0;2;0;0;4;6;0;26;26;12;1;3;0;4;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;7;8;9
26/10/2023;19;6;17;28;0;0;0;0;19;6;17;28;0;0;0;0;4;1;1;6;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;2;0;2;4;9;3;0;1;0;0;0;0;1;1;1;0;0;2;0;4;1;3;0;1;1;0;0;0;1;0;0;0;1;0;0;1;2;1;0;0;0;1;0;0;1;2;0;3;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;2;0;3;0;8;1;4;3;5;1;4;6;1;1;1;5;0;1;2;9;0;0;1;2;1;1;1;3;0;0;1;0;0;64;64;14;1;11;4;3;4;0;2;0;7;7;0;0;1;3;3;1;1;2;0;0;0;0;1;0;6;13;24;20
25/10/2023;1;0;1;8;0;0;0;0;1;0;1;8;0;0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;3;0;8;8;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;0
24/10/2023;0;0;1;4;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;9;9;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5
23/10/2023;3;3;1;3;0;0;0;0;3;3;1;3;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;20;20;14;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;6;8
